JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1,54,19,03-06-2024,IMPRESSIONS,VIEWED,38.89
2,180,18,12-01-2024,IMPRESSIONS,VIEWED,37.29
3,288,20,20-09-2024,CLICK,CLICKED,17.17
4,140,10,14-12-2023,IMPRESSIONS,VIEWED,27.65
5,206,3,26-05-2023,CART,ADDED TO CART,41.01
6,272,7,21-01-2024,IMPRESSIONS,VIEWED,19.8
7,167,19,02-09-2024,IMPRESSIONS,VIEWED,11.3
8,26,3,06-10-2023,IMPRESSIONS,VIEWED,29.28
9,213,9,09-08-2023,CART,ADDED TO CART,71.42
10,57,10,25-11-2024,CLICK,CLICKED,18.41
11,203,20,26-02-2023,IMPRESSIONS,VIEWED,35.69
12,131,10,02-12-2023,IMPRESSIONS,VIEWED,12.03
13,195,18,21-12-2024,IMPRESSIONS,VIEWED,20.88
14,22,14,20-01-2023,CLICK,CLICKED,58.18
15,294,13,27-12-2024,CLICK,CLICKED,45.38
16,167,6,24-09-2024,CLICK,CLICKED,47.75
17,55,8,22-03-2024,CLICK,CLICKED,80.29
18,174,8,08-12-2023,CART,ADDED TO CART,91.26
19,59,17,06-06-2024,IMPRESSIONS,VIEWED,34.1
20,76,8,16-04-2023,IMPRESSIONS,VIEWED,29.1
21,39,6,05-10-2024,CLICK,CLICKED,79.82
22,162,5,26-03-2024,IMPRESSIONS,VIEWED,36.85
23,29,12,03-06-2024,IMPRESSIONS,VIEWED,6.5
24,189,10,20-03-2023,CLICK,CLICKED,49.7
25,284,2,05-04-2024,DROP-OFF,ABANDONED,
26,97,11,11-09-2024,CLICK,CLICKED,48.79
27,176,3,31-05-2024,CLICK,CLICKED,68.07
28,225,17,19-06-2024,CLICK,CLICKED,83.85
29,199,14,13-12-2023,CLICK,CLICKED,19.94
30,49,18,25-11-2024,IMPRESSIONS,VIEWED,18.33
31,299,5,25-12-2023,IMPRESSIONS,VIEWED,28.8
32,44,10,26-07-2024,IMPRESSIONS,VIEWED,31.8
33,270,3,23-10-2024,CLICK,CLICKED,42.19
34,93,7,16-12-2023,CHECKOUT,ABANDONED,
35,99,8,21-05-2023,IMPRESSIONS,VIEWED,25.31
36,277,17,08-02-2023,CLICK,CLICKED,26.57
37,93,20,19-06-2023,CART,ADDED TO CART,79.3
38,122,15,17-09-2024,IMPRESSIONS,VIEWED,26.36
39,159,16,18-07-2023,IMPRESSIONS,VIEWED,35.78
40,196,17,24-06-2024,IMPRESSIONS,VIEWED,37.05
41,71,9,23-02-2023,CLICK,CLICKED,68.36
42,265,4,19-10-2023,IMPRESSIONS,VIEWED,22.97
