ContentID,ContentType,Campaign,Likes,Date,Views,Clicks
CNT-10001,BLOG,Campaign_Summer_Boost,5120,2024-06-12,90467,20131
CNT-10002,BLOG,Campaign_Q4_Holiday,12942,2024-08-23,142248,30725
CNT-10003,SOCIAL MEDIA,Campaign_Summer_Boost,6237,2024-06-22,101378,22129
CNT-10004,VIDEO,Campaign_Summer_Boost,2536,2024-11-25,37189,7889
CNT-10005,SOCIAL MEDIA,Campaign_Spring_Sale,12611,2024-08-23,129449,30538
CNT-10006,BLOG,Campaign_Q1_Launch,12336,2024-01-09,147236,29535
CNT-10007,NEWSLETTER,Campaign_Q4_Holiday,2038,2023-02-12,35779,7162
CNT-10008,SOCIAL MEDIA,Campaign_Q1_Launch,8572,2024-09-27,149559,28032
CNT-10009,BLOG,Campaign_Summer_Boost,5883,2023-04-16,83629,18775
CNT-10010,BLOG,Campaign_Q1_Launch,5249,2023-04-28,92115,19413
CNT-10011,BLOG,Campaign_Q1_Launch,11595,2023-10-23,148803,31892
CNT-10012,NEWSLETTER,Campaign_Summer_Boost,1416,2024-03-30,25766,5004
CNT-10013,NEWSLETTER,Campaign_Summer_Boost,8420,2023-08-04,105877,24037
CNT-10014,BLOG,Campaign_Summer_Boost,12949,2024-06-03,148248,31227
CNT-10015,SOCIAL MEDIA,Campaign_Spring_Sale,7696,2024-04-02,132083,27251
CNT-10016,NEWSLETTER,Campaign_Q4_Holiday,9730,2023-07-04,144278,28320
CNT-10017,BLOG,Campaign_Summer_Boost,2822,2023-06-01,45794,8589
CNT-10018,BLOG,Campaign_Spring_Sale,10804,2023-01-18,141491,30529
CNT-10019,NEWSLETTER,Campaign_Q1_Launch,8824,2024-09-06,89717,20854
CNT-10020,BLOG,Campaign_Summer_Boost,6861,2023-04-19,124066,25769
CNT-10021,NEWSLETTER,Campaign_Q4_Holiday,3253,2024-03-07,49752,9544
CNT-10022,NEWSLETTER,Campaign_Q1_Launch,3834,2023-12-18,55380,11064
CNT-10023,VIDEO,Campaign_Spring_Sale,7283,2023-01-22,133070,27393
