ContentID,ContentType,Campaign,ViewsClicksCombined,Likes,Date
CNT-10001,BLOG,Campaign_Summer_Boost,90467-20131,5120,2024-06-12
CNT-10002,BLOG,Campaign_Q4_Holiday,142248-30725,12942,2024-08-23
CNT-10003,Social Media,Campaign_Summer_Boost,101378-22129,6237,2024-06-22
CNT-10004,VIDEO,Campaign_Summer_Boost,37189-7889,2536,2024-11-25
CNT-10005,social media,Campaign_Spring_Sale,129449-30538,12611,2024-08-23
CNT-10006,BLOG,Campaign_Q1_Launch,147236-29535,12336,2024-01-09
CNT-10007,newsletter,Campaign_Q4_Holiday,35779-7162,2038,2023-02-12
CNT-10008,social media,Campaign_Q1_Launch,149559-28032,8572,2024-09-27
CNT-10009,BLOG,Campaign_Summer_Boost,83629-18775,5883,2023-04-16
CNT-10010,BLOG,Campaign_Q1_Launch,92115-19413,5249,2023-04-28
CNT-10011,BLOG,Campaign_Q1_Launch,148803-31892,11595,2023-10-23
CNT-10012,Newsletter,Campaign_Summer_Boost,25766-5004,1416,2024-03-30
CNT-10013,Newsletter,Campaign_Summer_Boost,105877-24037,8420,2023-08-04
CNT-10014,BLOG,Campaign_Summer_Boost,148248-31227,12949,2024-06-03
CNT-10015,Social Media,Campaign_Spring_Sale,132083-27251,7696,2024-04-02
CNT-10016,newsletter,Campaign_Q4_Holiday,144278-28320,9730,2023-07-04
CNT-10017,BLOG,Campaign_Summer_Boost,45794-8589,2822,2023-06-01
CNT-10018,Blog,Campaign_Spring_Sale,141491-30529,10804,2023-01-18
CNT-10019,newsletter,Campaign_Q1_Launch,89717-20854,8824,2024-09-06
CNT-10020,Blog,Campaign_Summer_Boost,124066-25769,6861,2023-04-19
CNT-10021,Newsletter,Campaign_Q4_Holiday,49752-9544,3253,2024-03-07
CNT-10022,newsletter,Campaign_Q1_Launch,55380-11064,3834,2023-12-18
CNT-10023,Video,Campaign_Spring_Sale,133070-27393,7283,2023-01-22
CNT-10024,Newsletter,Campaign_Summer_Boost,47486-10776,4610,2023-06-06
CNT-10025,newsletter,Campaign_Spring_Sale,141530-28849,7193,2023-03-06
CNT-10026,Blog,Campaign_Summer_Boost,44668-9898,2479,2023-04-16
CNT-10027,newsletter,Campaign_Q1_Launch,29649-5939,2613,2023-12-11
CNT-10028,social media,Campaign_Summer_Boost,107587-21661,9549,2024-01-08
CNT-10029,Newsletter,Campaign_Spring_Sale,47250-9706,3295,2024-11-10
CNT-10030,social media,Campaign_Spring_Sale,112782-25675,11090,2024-05-10
CNT-10031,Newsletter,Campaign_Q4_Holiday,148424-27196,11016,2024-09-19
CNT-10032,BLOG,Campaign_Q1_Launch,94042-22505,8685,2023-04-04
CNT-10033,Video,Campaign_Q4_Holiday,28320-5596,1230,2023-04-01
CNT-10034,BLOG,Campaign_Summer_Boost,138613-29600,11588,2023-04-06
CNT-10035,newsletter,Campaign_Spring_Sale,73475-14949,4423,2023-02-17
CNT-10036,social media,Campaign_Q1_Launch,125161-22799,7841,2024-06-14
CNT-10037,BLOG,Campaign_Q1_Launch,38067-6928,2029,2024-07-19
CNT-10038,social media,Campaign_Q1_Launch,39336-7335,3009,2023-06-27
CNT-10039,Video,Campaign_Spring_Sale,121403-23928,4982,2024-12-26
CNT-10040,social media,Campaign_Spring_Sale,71920-17003,5242,2024-05-26
CNT-10041,Video,Campaign_Spring_Sale,15639-3439,1452,2024-07-10
CNT-10042,newsletter,Campaign_Spring_Sale,31458-6718,2376,2024-06-24
CNT-10043,Blog,Campaign_Summer_Boost,132910-28068,10895,2024-02-27
CNT-10044,newsletter,Campaign_Q4_Holiday,120953-23574,9912,2023-05-19
CNT-10045,Video,Campaign_Spring_Sale,93375-19678,4391,2023-10-29
CNT-10046,Social Media,Campaign_Q4_Holiday,129023-25485,6868,2024-02-27
CNT-10047,Blog,Campaign_Summer_Boost,22860-4468,1617,2023-07-18
CNT-10048,Social Media,Campaign_Q4_Holiday,128795-26324,8175,2024-10-28
CNT-10049,BLOG,Campaign_Q1_Launch,139353-28792,11910,2023-10-07
CNT-10050,Social Media,Campaign_Summer_Boost,116756-24704,9040,2023-11-10
CNT-10051,Blog,Campaign_Q4_Holiday,71944-17192,5884,2024-12-21
CNT-10052,BLOG,Campaign_Spring_Sale,39078-8934,2524,2024-03-23
CNT-10053,Newsletter,Campaign_Summer_Boost,52794-10123,2731,2023-06-06
CNT-10054,Newsletter,Campaign_Q1_Launch,113312-22220,9749,2024-02-02
CNT-10055,Newsletter,Campaign_Q4_Holiday,31744-7539,1737,2024-07-04
CNT-10056,Social Media,Campaign_Spring_Sale,53245-10360,4071,2024-10-07
CNT-10057,Social Media,Campaign_Summer_Boost,115586-24690,5785,2023-02-23
CNT-10058,social media,Campaign_Q4_Holiday,69470-13464,5072,2023-10-04
CNT-10059,Video,Campaign_Q4_Holiday,31861-6124,1858,2023-11-05
CNT-10060,BLOG,Campaign_Q4_Holiday,146450-28510,12318,2023-12-04
CNT-10061,BLOG,Campaign_Q4_Holiday,100341-22129,6911,2024-02-13
CNT-10062,BLOG,Campaign_Q4_Holiday,146705-29799,11003,2023-02-25
CNT-10063,BLOG,Campaign_Summer_Boost,32590-7527,1753,2024-02-10
CNT-10064,newsletter,Campaign_Q4_Holiday,83455-18222,7929,2023-09-28
CNT-10065,social media,Campaign_Q4_Holiday,73770-14011,2929,2024-02-25
CNT-10066,VIDEO,Campaign_Summer_Boost,128873-25943,10914,2023-09-17
CNT-10067,Social Media,Campaign_Q1_Launch,31109-6144,1363,2024-12-02
CNT-10068,Newsletter,Campaign_Q4_Holiday,80551-16702,3756,2024-01-13
CNT-10069,Social Media,Campaign_Q1_Launch,80420-16047,5743,2023-04-05
CNT-10070,BLOG,Campaign_Q1_Launch,104215-21315,7605,2023-08-30
CNT-10071,social media,Campaign_Summer_Boost,98756-18070,4009,2023-09-27
CNT-10072,social media,Campaign_Spring_Sale,63707-14179,4610,2024-05-02
CNT-10073,Newsletter,Campaign_Q4_Holiday,68690-13131,4234,2024-08-28
CNT-10074,Video,Campaign_Summer_Boost,48779-9386,3163,2023-01-02
CNT-10075,Newsletter,Campaign_Q1_Launch,147489-31995,7018,2024-05-17
CNT-10076,Video,Campaign_Q1_Launch,110323-20858,7316,2024-06-25
CNT-10077,Blog,Campaign_Summer_Boost,135357-31675,11516,2023-10-30
CNT-10078,Newsletter,Campaign_Summer_Boost,20486-4097,955,2023-01-20
CNT-10079,Social Media,Campaign_Summer_Boost,127516-23684,5406,2023-10-24
CNT-10080,social media,Campaign_Summer_Boost,147068-33722,7121,2023-01-07
CNT-10081,newsletter,Campaign_Q4_Holiday,111018-20805,4369,2023-03-20
CNT-10082,Video,Campaign_Spring_Sale,51682-9639,3252,2024-04-11
CNT-10083,Blog,Campaign_Summer_Boost,67734-15537,3535,2024-04-02
CNT-10084,social media,Campaign_Spring_Sale,26462-5213,1150,2023-05-10
CNT-10085,newsletter,Campaign_Summer_Boost,80250-18296,4480,2024-03-11
CNT-10086,Newsletter,Campaign_Summer_Boost,119370-27616,6735,2023-07-26
CNT-10087,Newsletter,Campaign_Q1_Launch,123480-29398,8376,2023-01-23
CNT-10088,Newsletter,Campaign_Spring_Sale,80679-16718,4730,2023-06-03
CNT-10089,Newsletter,Campaign_Q4_Holiday,51397-12009,4426,2024-02-19
CNT-10090,newsletter,Campaign_Q1_Launch,52741-10932,3044,2023-01-08
CNT-10091,Video,Campaign_Summer_Boost,129458-27573,5801,2024-08-15
CNT-10092,Video,Campaign_Summer_Boost,136204-32337,12713,2023-07-02
CNT-10093,VIDEO,Campaign_Q1_Launch,115419-23916,8897,2023-07-27
CNT-10094,Social Media,Campaign_Spring_Sale,110676-25230,6229,2023-08-24
CNT-10095,social media,Campaign_Q1_Launch,112144-22020,5955,2024-08-19
CNT-10096,BLOG,Campaign_Q1_Launch,124734-24928,10081,2024-03-28
CNT-10097,Blog,Campaign_Spring_Sale,53084-12296,4630,2023-08-21
CNT-10098,Video,Campaign_Spring_Sale,86148-16419,6089,2024-02-27
CNT-10099,BLOG,Campaign_Summer_Boost,43932-9419,2219,2023-02-05
CNT-10100,Blog,Campaign_Q1_Launch,31985-6377,1761,2024-05-31
CNT-10101,Video,Campaign_Summer_Boost,40828-7471,1907,2023-10-19
CNT-10102,Newsletter,Campaign_Summer_Boost,79962-15469,4705,2023-09-01
CNT-10103,Video,Campaign_Summer_Boost,141351-31453,9186,2023-11-06
CNT-10104,social media,Campaign_Q4_Holiday,28876-5202,2106,2023-10-16
CNT-10105,VIDEO,Campaign_Q4_Holiday,84087-16312,7051,2023-02-03
CNT-10106,Social Media,Campaign_Q1_Launch,136221-24607,10868,2023-10-04
CNT-10107,newsletter,Campaign_Q1_Launch,44181-10123,2887,2024-12-17
CNT-10108,Social Media,Campaign_Spring_Sale,70618-16611,5928,2024-08-01
CNT-10109,newsletter,Campaign_Q1_Launch,132723-29002,11940,2024-01-19
CNT-10110,Newsletter,Campaign_Q1_Launch,134016-27167,8451,2023-02-07
CNT-10111,BLOG,Campaign_Q1_Launch,144389-34236,8873,2024-12-06
CNT-10112,social media,Campaign_Q1_Launch,33137-7915,2939,2024-01-07
CNT-10113,VIDEO,Campaign_Q4_Holiday,64598-12586,4563,2024-05-14
CNT-10114,social media,Campaign_Q4_Holiday,90372-19756,4089,2024-09-08
CNT-10115,Blog,Campaign_Summer_Boost,26314-5345,2009,2024-10-06
CNT-10116,Blog,Campaign_Summer_Boost,54122-12921,3663,2023-07-27
CNT-10117,BLOG,Campaign_Q4_Holiday,20624-4533,1872,2024-01-27
CNT-10118,BLOG,Campaign_Q1_Launch,83409-16975,7084,2024-04-25
CNT-10119,BLOG,Campaign_Q4_Holiday,53588-11743,4465,2024-04-05
CNT-10120,VIDEO,Campaign_Spring_Sale,122654-22269,5170,2024-10-08
CNT-10121,Newsletter,Campaign_Q1_Launch,46793-9998,3280,2023-01-21
